transaction_id,user_id,age,age_group,gender,daily_screen_time_hours,screen_time_band,social_media_hours,gaming_hours,work_study_hours,sleep_hours,low_sleep_flag,notifications_per_day,app_opens_per_day,weekend_screen_time,weekend_to_daily_screen_time_ratio,stress_level,academic_work_impact,addiction_level_display,addicted_label,addiction_status,usage_component_total_hours,component_sum_exceeds_daily_screen_time,day_load_hours,day_load_exceeds_24_hours
TXN00001,U00001,21,18-22,Male,3.23,Up to 6h,2.01,0.89,4.55,7.55,False,248,154,3.95,1.2229,Medium,Yes,None,0,0 - Not addicted label,7.449999999999999,True,15.329999999999998,False
TXN00002,U00002,24,23-27,Other,5.09,Up to 6h,3.81,2.24,4.44,7.66,False,127,71,6.71,1.3183,Medium,Yes,None,0,0 - Not addicted label,10.490000000000002,True,17.19,False
TXN00003,U00003,31,28-35,Other,6.06,6-8h,1.36,3.83,2.35,4.92,True,44,106,8.68,1.4323,High,No,Mild,0,0 - Not addicted label,7.540000000000001,True,13.33,False
TXN00004,U00004,32,28-35,Other,7.83,6-8h,5.85,1.51,3.54,8.23,False,178,107,9.77,1.2478,High,Yes,Moderate,1,1 - Addicted label,10.899999999999999,True,19.6,False
TXN00005,U00005,25,23-27,Male,9.96,8-10h,5.92,3.42,5.27,6.21,True,136,177,12.55,1.26,Low,No,Severe,1,1 - Addicted label,14.61,True,21.44,False
TXN00006,U00006,26,23-27,Male,9.32,8-10h,4.26,0.29,3.99,6.9,True,82,56,10.98,1.1781,Medium,Yes,Severe,1,1 - Addicted label,8.54,False,20.21,False
TXN00007,U00007,25,23-27,Male,10.4,10h+,4.93,1.6,0.86,8.61,False,165,95,11.43,1.099,Medium,No,Severe,1,1 - Addicted label,7.39,False,19.869999999999997,False
TXN00008,U00008,26,23-27,Male,4.26,Up to 6h,4.6,2.16,4.61,6.43,True,169,117,5.66,1.3286,Low,No,Moderate,1,1 - Addicted label,11.370000000000001,True,15.3,False
TXN00009,U00009,21,18-22,Other,4.38,Up to 6h,1.38,2.72,3.78,6.23,True,172,134,6.2,1.4155,High,Yes,None,0,0 - Not addicted label,7.879999999999999,True,14.389999999999999,False
TXN00010,U00010,35,28-35,Other,9.76,8-10h,4.73,1.36,2.11,5.21,True,20,82,12.69,1.3002,Low,Yes,Severe,1,1 - Addicted label,8.200000000000001,False,17.08,False
TXN00011,U00011,34,28-35,Female,8.48,8-10h,1.34,3.05,3.47,8.0,False,155,15,10.48,1.2358,Medium,Yes,Moderate,1,1 - Addicted label,7.859999999999999,False,19.95,False
TXN00012,U00012,27,23-27,Other,5.16,Up to 6h,1.82,2.27,0.93,7.79,False,228,32,8.1,1.5698,High,Yes,None,0,0 - Not addicted label,5.02,False,13.879999999999999,False
TXN00013,U00013,33,28-35,Other,11.52,10h+,1.41,2.11,3.84,8.84,False,158,66,13.8,1.1979,Medium,No,Severe,1,1 - Addicted label,7.359999999999999,False,24.2,True
TXN00014,U00014,32,28-35,Male,4.09,Up to 6h,1.74,1.35,3.74,5.54,True,76,16,4.77,1.1663,High,Yes,None,0,0 - Not addicted label,6.83,True,13.37,False
TXN00015,U00015,19,18-22,Male,10.74,10h+,0.89,0.95,4.18,5.46,True,53,161,12.68,1.1806,Low,No,Severe,1,1 - Addicted label,6.02,False,20.38,False
TXN00016,U00016,21,18-22,Male,3.87,Up to 6h,2.87,1.69,3.07,7.78,False,192,180,4.62,1.1938,Medium,No,None,0,0 - Not addicted label,7.630000000000001,True,14.72,False
TXN00017,U00017,24,23-27,Other,4.71,Up to 6h,2.97,1.69,2.03,5.62,True,39,128,7.23,1.535,High,Yes,None,0,0 - Not addicted label,6.6899999999999995,True,12.36,False
